web-scraper-order,web-scraper-start-url,Pagination,Vehicle Link ,Vehicle Link -href,Vehicle Name ,Vehicle Exterior Color ,Vehicle Interior Color ,Odometer ,Fuel Economy ,Transmission,Drivetrain,Engine,VIN,Stock Number ,Body Style,Price,Notes
"1702073690-1","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2021 Volkswagen Tiguan 2.0T SE SUV","https://www.ahbuickgmc.com/used/Volkswagen/2021-Volkswagen-Tiguan-3c726c080a0e0a913d1b818b19c2e6ff.htm","Pre-Owned 2021 Volkswagen","Platinum Gray Metallic","Titan Black","54,680 miles","21/27 MPG City/Hwy","8-Speed Automatic with Tiptronic","AWD","2.0L TSI DOHC","3VV2B7AX3MM119155","BP2685","SUV","$21,475","SE!! AWD!! LEATHER!! HEATED SEATS!! BLIND ZONE ALERT!! BACKUP-CAMERA!! STEERING WHEEL MOUNTED AUDIO CONTROLS!!  DUAL-ZONE AUTOMATIC ALIMATE CONTROL!! DEET TINTED GLASS!! POWER DRIVER SEAT!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! CARFAX One-Owner."
"1702073692-2","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2021 Ford Expedition Max XLT SUV","https://www.ahbuickgmc.com/used/Ford/2021-Ford-Expedition+Max-3c726fcf0a0e0a913d1b818be45053ea.htm","Pre-Owned 2021 Ford","Iconic Silver Metallic","Ebony","73,013 miles","16/21 MPG City/Hwy","10-Speed Automatic","4WD","EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged","1FMJK1JT6MEA25261","BP2686","SUV","$38,975","MAX!! XLT!! 4WD!! HEATED LEATHER SEATING!! 18'' ALLOY WHEELS!! FRONT FOF LAMPS!! HALOGEN HEADLAMPS!! LEATHER WRAPPED STEEING WHEEL!! HILL START ASSIST!! PUSH-BUTTON START!! XM-RADIO!! REMOTE VEHICLE STARTER!! UNIVERSAL HOME REMOTE!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX."
"1702073695-3","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2018 Chevrolet Silverado 1500 LT Truck","https://www.ahbuickgmc.com/used/Chevrolet/2018-Chevrolet-Silverado+1500-47a7b2e80a0e094a70005d659d256bcd.htm","Pre-Owned 2018 Chevrolet","Summit White","Jet Black","35,932 miles","17/22 MPG City/Hwy","6-Speed Automatic Electronic with Overdrive","4WD","EcoTec3 5.3L V8","3GCUKREC6JG600067","BP2654A","Truck","$34,975","LT!! 4WD!! LIFTED!! HD RADIO!! CLEAN CARFAX!! NO ACCIDENTS!! POWER WINDOWS!! POWER DOOR LOCKS!! KEYLESS ENTRY!! AM/FM/XM RADIO!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX."
"1702073697-4","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2023 Volvo XC60 Ultimate SUV","https://www.ahbuickgmc.com/used/Volvo/2023-Volvo-XC60-45d259a90a0e087f42924702018847e9.htm","Pre-Owned 2023 Volvo","Silver Dawn Metallic","Charcoal","7,095 miles","21/27 MPG City/Hwy","Automatic with Geartronic","AWD","2.0L I4","YV4062RA9P1218252","BPIP7273","SUV","$51,475","XC60 ULTIMATE!! AWD!! DEEP TINTED GLASS!! 27 WHY MPG!! CARFAX 1-OWNER!! NO ACCIDENTS!! BLIND SPOT DETECTION!! FORWARD COLLISION ALERT!! CRUISE CONTROL!! HEATED & COOLED SEATING!! BLUETOOTH FOR PHONE!! UNIVERSAL HOME REMOTE!! 8-SPEED AUTOMATCI TRANSMISSION!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX. CARFAX One-Owner."
"1702073700-5","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2020 Volvo V90 T6 R-Design Wagon","https://www.ahbuickgmc.com/used/Volvo/2020-Volvo-V90-ef701c810a0e0a932cb60c1eae8566a6.htm","Pre-Owned 2020 Volvo","Ice White","Charcoal","21,375 miles","21/31 MPG City/Hwy","Automatic with Geartronic","AWD","I4 Supercharged","","BP2668","Wagon","$51,975","T6 R-DESIGN!! AWD!! ADVANCED PACKAGE!! !! HEATED NAPPA LEATHER REAR SEATS!! LEATHER WRAPPED STEERING WHEEL W/ AUDIO CONTROLS!! HEATED STEERING WHEEL!! 19'' R-DESIGN ALLOY WHEELS!! 12.3'' COLOR TOUCHSCREEN RADIO!! NAVIGATION!! ADAPTIVE CRUISE CONTROL!! 4-ZONE AUTOMATIC CLIMATE CONTROL!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival!"
"1702073702-6","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2023 Volvo S60 B5 Core Dark Theme Sedan","https://www.ahbuickgmc.com/used/Volvo/2023-Volvo-S60-45d252300a0e087f429247022c0c5279.htm","Pre-Owned 2023 Volvo","Thunder Gray Metallic","Charcoal","670 miles","26/35 MPG City/Hwy","Automatic with Geartronic","FWD","2.0L I4","","BPV9260A","Sedan","$36,675","DARK THEME!! HEATED FRONT SEATS!! HEATED STEERING WHEEL!! CARFAX 1-OWNER!! NO ACCIDENTS!! 12.3'' COLOR TOUCHSCREEN RADIO!! NAVIGATION!! XM-RADIO!! BLUETOOTH FOR PHONE!! 4-USB PORTS!! 19'' 5-TRIPLE SPOKE DIAMOND CUT ALLOY WHEELS!! STILL UNDER FACTORY WARRANTY!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX. CARFAX One-Owner."
"1702073705-7","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2020 Volkswagen Arteon 2.0T SEL R-Line Sedan","https://www.ahbuickgmc.com/used/Volkswagen/2020-Volkswagen-Arteon-db483e2e0a0e0a9a608e24655ba77a4f.htm","Pre-Owned 2020 Volkswagen","White","Titan Black","26,983 miles","20/29 MPG City/Hwy","8-Speed Automatic with Tiptronic","AWD","2.0L TSI DOHC","","P23680","Sedan","$28,795","Dealerrater Dealer of the Year!!! JD Power Award Winning for back to back years!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
CARFAX One-Owner.
2020 Volkswagen Arteon 2.0T SEL R-Line 4Motion White AWD 2.0L TSI DOHC

8 Speakers, ABS brakes, Adaptive suspension, Air Conditioning, AM/FM radio: SiriusXM, Auto-dimming Rear-View mirror, Automatic temperature control, Brake assist, Driver door bin, Electronic Stability Control, Exterior Parking Camera Rear, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Heated front seats, Memory seat, Navigation System, Power driver seat, Power moonroof, Power steering, Power windows, Radio data system, Radio: Discover Media Navigation AM/FM/HD, Rear air conditioning, Rear window defroster, Remote CD player, Remote keyless entry, Speed control, Speed-sensing steering, Steering wheel mounted audio controls, Traction control, Wheels: 20"" 10-Spoke Dark Graphite Alloy.


Priced below KBB Fair Purchase Price!"
"1702073708-8","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2022 Toyota Tacoma SR5 Truck","https://www.ahbuickgmc.com/used/Toyota/2022-Toyota-Tacoma-436628060a0e0a902f46d55e085ec773.htm","Pre-Owned 2022 Toyota","Silver","Black/Red","43,714 miles","18/22 MPG City/Hwy","6-Speed Automatic","4WD","3.5L V6 PDI DOHC 24V LEV3-ULEV70 278hp","","P23708","Truck","$34,669","Dealerrater Dealer of the Year!!! JD Power Award Winning for back to back years!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
CARFAX One-Owner.
2022 Toyota Tacoma SR5 V6 Silver 4WD 3.5L V6 PDI DOHC 24V LEV3-ULEV70 278hp

6 Speakers, ABS brakes, Active Cruise Control, Air Conditioning, AM/FM radio: SiriusXM, Anti-whiplash front head restraints, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Axle Ratio: 3.91, Bar Gray Ring Chrome Front Grille, Brake assist, Bumpers: body-color, Color-Keyed Overfenders, Daytime Running Lamps, Driver door bin, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: Safety Connect with 1-year trial, Exterior Parking Camera Rear, Fabric Seat Trim (FC), Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front Fog Lamps, Front fog lights, Front reading lights, Front Seats, Front wheel independent suspension, Illuminated entry, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Power door mirrors, Power driver seat, Power Sliding Rear Window w/Privacy Glass, Power steering, Power windows, Radio: AM/FM Radio, Rear step bumper, Remote keyless entry, Speed control, Speed-sensing steering, Split folding rear seat, Steering wheel mounted audio controls, Traction control, Variably intermittent wipers, Wheels: 16"" x 7J Silver Alloy."
"1702073710-9","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2019 Toyota RAV4 Hybrid XSE SUV","https://www.ahbuickgmc.com/used/Toyota/2019-Toyota-RAV4+Hybrid-f52844140a0e0a9147f2ea98b9044c10.htm","Pre-Owned 2019 Toyota","Magnetic Gray Metallic","Black","58,813 miles","","eCVT","AWD","2.5L 4-Cylinder","","BP2675","SUV","$31,875","XSE HYBRID!! AWD!! 38 HWY MPG!! PANORAMIC SUNROOF!! NAVIGATION!! SIDE BLIND ZONE ALERT!! CRUISE CONTROL!! AM/FM/XM RADIO!! CARFAX 1-OWNER!! NO ACCIDENTS!! DEEP TINTED GLASS!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX. CARFAX One-Owner."
"1702073713-10","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=234","2019 Toyota Prius L Hatchback","https://www.ahbuickgmc.com/used/Toyota/2019-Toyota-Prius-b67a5e7c0a0e0a9a63663e1db9851d95.htm","Pre-Owned 2019 Toyota","Blizzard Pearl","Black","30,528 miles","","CVT","Front-wheel Drive","I-4 cyl","","W173651A","Hatchback","$24,649","**ACCIDENT FREE CARFAX**
**BLIZZARD PEARL EXTERIOR**
**EXCELLENT FUEL ECONOMY**
**BACK-UP CAMERA**
**HYBRID**
**BLUETOOTH**
**PORTABLE AUDIO CONNECTION**
**APPLE CARPLAY**
**ANDROID AUTO**

******* 2019 Toyota Prius XLE - Only 30,657 Actual Mile - Just Traded In! - Pampered from day one - Super White over Black Premium SoftTex Interior - Back Up Camera - Heated Front Seats - Inspected and Serviced - Ready to Save you BIG on Gas - Welcome to a new Almost Gas Free World! - Come over, Drive it and you will believe - At Tasca Chevrolet, You will be Satisfied! ********

Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.

Recent Arrival! White 2019 Toyota Prius 1.8L 4-Cylinder DOHC 16V VVT-i CVT FWD


** Proudly Serving Wheeling, Buffalo Grove, Arlington Heights, Palatine, Deerfield, Northbrook, Long Grove, Prospect Heights and all of Chicago since 1950! ONLY 20 minutes from O'hare International Airport, 30 minutes from Downtown Chicago and the Wisconsin border !!"
