iter	RMSE
0	1.160655145
1	1.151163636
2	1.142046147
3	1.133477013
4	1.12516763
5	1.117417891
6	1.109939917
7	1.102869138
8	1.096249368
9	1.089800968
10	1.083767315
11	1.077926666
12	1.072509404
13	1.067263286
14	1.062402996
15	1.057689267
16	1.053191602
17	1.048906405
18	1.044775269
19	1.040953697
20	1.037229278
21	1.033700322
22	1.030308348
23	1.027106451
24	1.024028666
25	1.021175759
26	1.018453501
27	1.015937332
28	1.013445756
29	1.010916613
30	1.008551359
31	1.006227605
32	1.004090915
33	1.001973127
34	0.9998366339
35	0.9979418758
36	0.9961246695
37	0.9943315755
38	0.9927144809
39	0.9911436281
40	0.9896489422
41	0.9881618876
42	0.9867560068
43	0.9854681642
44	0.9841638807
45	0.9829491691
46	0.9818488585
47	0.9807515548
48	0.9797382014
49	0.978683017
50	0.9777364853
51	0.9768135287
52	0.9759751137
53	0.9751240637
54	0.9743293369
55	0.973490544
56	0.9727318832
57	0.9720205229
58	0.9713481369
59	0.9706919464
60	0.9701029361
61	0.9694969398
62	0.9689639786
63	0.968388176
64	0.9678066923
65	0.9672173472
66	0.9667551975
67	0.9662404035
68	0.9657647243
69	0.9652890293
70	0.9648640056
71	0.9644798369
72	0.9640895542
73	0.9637277396
74	0.9633447201
75	0.9629908933
76	0.9626455571
77	0.9622594525
78	0.9619144468
79	0.9615766463
80	0.961247436
81	0.960934766
82	0.9606405124
83	0.9603392777
84	0.9600657075
85	0.9597681988
86	0.9595186633
87	0.9592690287
88	0.9590260698
89	0.9587593458
90	0.9585463244
91	0.9583059716
92	0.9580664631
93	0.9578638155
94	0.9576340122
95	0.9574033415
96	0.9571997555
97	0.9569990788
98	0.9568101963
99	0.9566067924
100	0.9564157481
101	0.956238705
102	0.9560729812
103	0.9559121376
104	0.955740887
