iter	Passed	Remaining
0	103	103674
1	121	60612
2	139	46355
3	163	40689
4	182	36286
5	201	33421
6	221	31356
7	240	29801
8	259	28588
9	278	27537
10	296	26643
11	318	26193
12	337	25652
13	360	25399
14	381	25079
15	405	24918
16	436	25233
17	460	25122
18	484	24992
19	508	24918
20	532	24822
21	556	24751
22	581	24683
23	604	24575
24	632	24650
25	653	24499
26	687	24792
27	716	24871
28	742	24867
29	801	25926
30	833	26050
31	870	26317
32	904	26515
33	945	26872
34	1007	27782
35	1034	27709
36	1062	27649
37	1092	27651
38	1120	27621
39	1147	27533
40	1200	28072
41	1270	28976
42	1298	28889
43	1328	28871
44	1356	28788
45	1383	28699
46	1406	28511
47	1429	28357
48	1455	28243
49	1478	28087
50	1506	28040
51	1530	27911
52	1555	27787
53	1575	27602
54	1597	27445
55	1619	27295
56	1642	27179
57	1668	27098
58	1690	26962
59	1713	26851
60	1737	26748
61	1759	26623
62	1784	26538
63	1808	26448
64	1831	26338
65	1876	26560
66	1902	26497
67	1925	26390
68	1950	26323
69	1975	26247
70	1997	26139
71	2019	26035
72	2044	25967
73	2069	25898
74	2095	25839
75	2117	25750
76	2139	25649
77	2163	25577
78	2189	25527
79	2214	25466
80	2236	25379
81	2258	25287
82	2283	25233
83	2306	25154
84	2332	25112
85	2354	25024
86	2380	24980
87	2407	24950
88	2431	24890
89	2456	24836
90	2478	24756
91	2514	24816
92	2536	24735
93	2559	24671
94	2598	24756
95	2627	24744
96	2654	24714
97	2677	24647
98	2702	24592
99	2727	24545
100	2749	24472
101	2773	24417
102	2798	24369
103	2823	24324
104	2850	24300
